genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange	unique	conectivity	groups	priority
YOR095C	Q12189	RKI1	28.25777	OE	2.98362544241115	2	5.11579327918677e-06	5.12897722843915e-06	5.12220372454707e-06	1.00074766316057	1	2	0	1
YNR001C	P00890	CIT1	53.35945	OE	2.72351838873607	2	5.16335320897685e-07	7.32795602007741e-07	7.32734879742282e-07	1.00020210136251	1	7	0	1
YKL085W	P17505	MDH1	35.64959	OE	2.5474852667492	2	5.14756958706202e-07	5.45447844113399e-07	5.15972665398956e-07	1.00010069783462	1	5	0	1
YOR283W	Q12040	YOR283W	26.17622	OE	2.20510876911546	2	5.57955559550157e-07	5.68718117412948e-07	5.65052121380041e-07	1.00007719986475	1	4	0	1
YCR012W	P00560	PGK1	44.73787	OE	1.17093905635755	2	8.85902384305563e-07	8.88113767508899e-07	8.8602496675906e-07	1.00020520974086	1	4	0	1
YDR050C	P00942	TPI1	26.79508	OE	1.06676923323887	2	2.47983342199831e-08	2.84192749738308e-08	2.48040329740858e-08	1.00000442376582	1	2	0	1
YMR205C	P16862	PFK2	104.61673	OE	1.06002676830617	2	5.9968683653683e-07	6.03112285760973e-07	6.02944936652481e-07	1.00032592356861	1	9	0	1
YBR263W	P37292	SHM1	53.68589	deletion	0	0	0	2.02824295462951e-09	0	1.0000021220235	1	5	0	1
YCL040W	P17709	GLK1	55.37689	deletion	0	0	0	2.12928760220669e-09	0	1.0000022150235	1	6	0	1
YMR246W	P47912	FAA4	77.26612	deletion	0	0	0	1.32277315200545e-09	0	1.00000205316477	1	48	0	1
YLR446W	Q06204	YLR446W	48.96875	deletion	0	0	0	1.96389752325865e-09	0	1.00000199096819	1	20	0	1
YMR319C	P40988	FET4	62.7913	OE	1000	2	0	1.21599853938467e-09	1.21599853938466e-09	1.00000139339214	0	3	3	2
YOL086C	P00330	ADH1	36.84874	OE	1000	2	7.33022497130439e-08	8.15925210185088e-08	8.10591610065302e-08	1.00001642173815	0	21	1	2
YPR074C	P23254	TKL1	73.80488	OE	39.2624713402774	2	1.26085217236356e-06	1.34145898174675e-06	1.3392278760998e-06	1.00051082119548	0	10	4	2
YLR450W	P12684	HMG2	115.69085	OE	9.26019418292402	2	0	9.66377314266834e-07	9.66364388464401e-07	1.00057733588936	0	7	5	2
YHR163W	P38858	SOL3	27.78417	OE	5.60442398621721	2	1.40225552862604e-05	1.41701764491799e-05	1.41592608933957e-05	1.00203263853968	0	5	6	2
YHR183W	P38720	GND1	53.54274	OE	5.60442398621721	2	3.63695468764406e-06	3.89289291911943e-06	3.8898973164292e-06	1.00107574863784	0	6	7	2
YBR221C	P32473	PDB1	40.0532	OE	3.52976819738561	2	3.46076902916291e-06	3.46410510536729e-06	3.4639823604624e-06	1.00071572397072	0	6	8	2
YLR044C	P06169	PDC1	61.49468	OE	2.8334156536697	2	4.14932105573885e-07	4.1674578841286e-07	4.16329361852666e-07	1.00013272010399	0	17	9	2
YGL062W	P11154	PYC1	130.09827	OE	2.45330319929326	2	1.09021373046312e-06	2.52369694556238e-06	2.51415704720367e-06	1.0017392352039	0	8	10	2
YAL038W	P00549	CDC19	54.54404	OE	2.36561367992641	2	1.86215481858183e-06	2.01166913553951e-06	2.01141157767274e-06	1.00056618308429	0	6	11	2
YGR254W	P00924	ENO1	46.81564	OE	2.20510876911546	2	1.85042761439829e-06	2.04836425546926e-06	2.04645215028134e-06	1.00049455595602	0	5	12	2
YJL052W	P00360	TDH1	35.74956	OE	1.17093905635755	2	1.63926763598501e-05	1.63995645076224e-05	1.63974449544995e-05	1.0030202768234	0	8	13	2
YFR053C	P04806	HXK1	53.73784	deletion	0	0	0	2.20957868758446e-09	0	1.00000222352111	0	12	17	2
YGL253W	P04807	HXK2	53.9419	deletion	0	0	0	1.95243959032313e-09	0	1.00000208523972	0	12	17	2
YGR180C	P49723	RNR4	40.05407	deletion	0	0	0	2.46440414350034e-09	0	1.00000201713932	0	24	16	2
YIL066C	P21672	RNR3	97.51369	deletion	0	0	0	1.00531217645603e-09	0	1.00000201015588	0	24	16	2
YIL125W	P20967	KGD1	114.41496	deletion	0	0	0	5.97923366123369e-10	0	1.00000170493714	0	11	15	2
YJL026W	P09938	RNR2	46.14681	deletion	0	0	0	2.15172123685048e-09	0	1.00000202317413	0	24	16	2
YMR189W	P49095	GCV2	114.45033	deletion	0	0	0	1.72046803856387e-11	0	1.00000102029114	0	18	14	2
